"Turbine_ID";"Component";"Timestamp";"Remarks"
"T01";"GEARBOX";"2016-07-18T02:10:00+00:00";"Gearbox pump damaged"
"T06";"GENERATOR";"2016-07-11T19:48:00+00:00";"Generator replaced"
"T06";"GENERATOR";"2016-07-24T17:01:00+00:00";"Generator temperature sensor failure"
"T06";"GENERATOR";"2016-09-04T08:08:00+00:00";"High temperature generator error"
"T06";"GENERATOR";"2016-10-27T16:26:00+00:00";"Generator replaced"
"T06";"GENERATOR";"2016-10-02T17:08:00+00:00";"Refrigeration system and temperature sensors in generator replaced"
"T06";"HYDRAULIC_GROUP";"2016-04-04T18:53:00+00:00";"Error in pitch regulation"
"T07";"GENERATOR_BEARING";"2016-04-30T12:40:00+00:00";"High temperature in generator bearing (replaced sensor)"
"T07";"TRANSFORMER";"2016-07-10T03:46:00+00:00";"High temperature transformer"
"T07";"TRANSFORMER";"2016-08-23T02:21:00+00:00";"High temperature transformer. Transformer refrigeration repaired"
"T09";"GEARBOX";"2016-10-11T08:06:00+00:00";"Gearbox repaired"
"T09";"GENERATOR_BEARING";"2016-06-07T16:59:00+00:00";"High tempemperature generator bearing"
"T09";"GENERATOR_BEARING";"2016-08-22T18:25:00+00:00";"High temperature generator bearing"
"T09";"GENERATOR_BEARING";"2016-10-17T09:19:00+00:00";"Generator bearings replaced"
"T11";"GENERATOR";"2016-03-03T19:00:00+00:00";"Electric circuit error in generator"
"T11";"HYDRAULIC_GROUP";"2016-10-17T17:44:00+00:00";"Hydraulic group error in the brake circuit"
"T01";"TRANSFORMER";"2017-08-11T13:14:00+00:00";"Transformer fan damaged"
"T06";"GEARBOX";"2017-10-17T08:38:00+00:00";"Gearbox bearings damaged"
"T06";"HYDRAULIC_GROUP";"2017-08-19T09:47:00+00:00";"Oil leakage in Hub"
"T07";"GENERATOR_BEARING";"2017-08-20T06:08:00+00:00";"Generator bearings damaged"
"T07";"GENERATOR";"2017-08-21T14:47:00+00:00";"Generator damaged"
"T07";"HYDRAULIC_GROUP";"2017-06-17T11:35:00+00:00";"Oil leakage in Hub"
"T07";"HYDRAULIC_GROUP";"2017-10-19T10:11:00+00:00";"Oil leakage in Hub"
"T09";"GEARBOX";"2017-10-18T08:32:00+00:00";"Gearbox noise"
"T09";"GENERATOR_BEARING";"2017-01-25T12:55:00+00:00";"Generator bearings replaced"
"T09";"HYDRAULIC_GROUP";"2017-09-16T15:46:00+00:00";"Pitch position error related GH"
"T11";"HYDRAULIC_GROUP";"2017-04-26T18:06:00+00:00";"Hydraulic group error in the brake circuit"
"T11";"HYDRAULIC_GROUP";"2017-09-12T15:30:00+00:00";"Hydraulic group error in the brake circuit"
